Timestamp,ServiceID,Pseudonym,Longitude,Latitude,Width,Length,Speed,Heading
34800,505,1827336327,4300,13050,62,1023,982,3597
34900,295,1433925857,11060,5310,62,1023,981,900
35000,225,1937477084,4030,10460,62,1023,989,3597
35000,155,1632621729,14250,5600,62,1023,998,900
35000,435,572660336,-3150,6180,62,1023,984,2700
35000,575,1100661313,-6960,5890,62,1023,1228,2700
35200,365,1159126505,6380,5310,62,1023,975,900
35300,85,805750846,14680,5310,62,1023,997,900
35300,505,1827336327,4300,13500,62,1023,985,3597
35400,295,1433925857,11510,5310,62,1023,1000,900
35400,575,1100661313,-7400,5890,62,1023,1219,2700
35500,225,1141616124,4030,10910,62,1023,977,3597
35500,155,1632621729,14700,5600,62,1023,995,900
35500,435,572660336,-3600,6180,62,1023,999,2700
35700,365,1159126505,6830,5310,62,1023,975,900
35800,85,805750846,15120,5310,62,1023,975,900
35800,575,1100661313,-7830,6180,62,1023,1213,2700
35800,505,1827336327,4300,13940,62,1023,976,3597
35900,295,1433925857,11950,5310,62,1023,995,900
36000,225,1141616124,4020,11360,62,1023,995,3597
36000,155,1632621729,15140,5600,62,1023,993,900
36000,435,572660336,-4040,6180,62,1023,998,2700
36200,365,1159126505,7270,5310,62,1023,998,900
36200,575,1100661313,-8270,6180,62,1023,1225,2700
36300,85,805750846,15570,5310,62,1023,978,900
36300,505,1827336327,4300,14390,62,1023,999,3597
36400,295,1433925857,12400,5310,62,1023,999,900
36500,225,1141616124,4020,11800,62,1023,982,3597
36500,155,1632621729,15580,5600,62,1023,986,900
36500,435,572660336,-4480,6180,62,1023,984,2700
36600,575,1100661313,-8710,6180,62,1023,1213,2700
36700,365,1159126505,7720,5310,62,1023,985,900
36800,85,805750846,16010,5310,62,1023,988,900
36800,505,84353895,4300,14840,62,1023,994,3597
36900,295,1433925857,12840,5310,62,1023,994,900
37000,225,1141616124,4020,12250,62,1023,975,3597
37000,155,1632621729,16030,5600,62,1023,989,900
37000,435,939819582,-4930,6180,62,1023,983,2700
37000,575,1100661313,-9150,6180,62,1023,1210,2700
37200,365,1998898814,8160,5310,62,1023,983,900
37300,85,1548233367,16450,5310,62,1023,995,900
37300,505,84353895,4290,15290,62,1023,981,3597
37400,295,1433925857,13280,5310,62,1023,980,900
37400,575,2001100545,-9580,6180,62,1023,1212,2700
37500,225,1141616124,4020,12690,62,1023,984,3597
37500,155,610515434,16470,5600,62,1023,986,900
37500,435,939819582,-5370,6180,62,1023,988,2700
37700,365,1998898814,8600,5310,62,1023,984,900
37800,85,1548233367,16900,5310,62,1023,984,900
37800,575,2001100545,-10020,6180,62,1023,1217,2700
37800,505,84353895,4290,15730,62,1023,987,3597
37900,295,1585990364,13730,5310,62,1023,977,900
38000,225,1141616124,4020,13140,62,1023,996,3597
38000,155,610515434,16920,5600,62,1023,991,900
38000,435,939819582,-5810,6180,62,1023,982,2700
38200,365,1998898814,9050,5310,62,1023,989,900
38200,575,2001100545,-10460,6180,62,1023,1224,2700
38300,85,1548233367,17340,5310,62,1023,991,900
38300,505,84353895,4290,16180,62,1023,987,3597
38400,295,1585990364,14170,5310,62,1023,977,900
38500,225,1374344043,4010,13590,62,1023,991,3597
38500,155,610515434,17360,5600,62,1023,990,900
38500,435,939819582,-6250,6180,62,1023,989,2700
38600,575,2001100545,-10900,6180,62,1023,1229,2700
38700,365,1998898814,9490,5310,62,1023,998,900
38800,85,1548233367,17790,5310,62,1023,986,900
38800,505,84353895,4290,16630,62,1023,996,3597
38900,295,1585990364,14610,5310,62,1023,978,900
39000,225,1374344043,4010,14040,62,1023,984,3597
39000,155,610515434,17800,5600,62,1023,980,900
39000,435,939819582,-6700,6180,62,1023,996,2700
39000,575,2001100545,-11340,6180,62,1023,1222,2700
39200,365,1998898814,9930,5310,62,1023,975,900
39300,85,1548233367,18230,5310,62,1023,995,900
39300,505,84353895,4290,17070,62,1023,985,3597
39400,295,1585990364,15060,5310,62,1023,998,900
39400,575,2001100545,-11770,6180,62,1023,1214,2700
39500,225,1374344043,4010,14480,62,1023,1000,3597
39500,155,610515434,18250,5600,62,1023,992,900
39500,435,939819582,-7140,6180,62,1023,999,2700
39700,365,1998898814,10380,5310,62,1023,987,900
39800,575,760313750,-12210,6180,62,1023,1209,2700
39800,505,1477171087,4280,17520,62,1023,981,3597
39900,295,1585990364,15500,5310,62,1023,981,900
40000,225,1374344043,4010,14930,62,1023,992,3597
40000,435,356426808,-7590,6180,62,1023,993,2700
40200,365,1998898814,10820,5310,62,1023,993,900
40200,575,760313750,-12650,6180,62,1023,1219,2700
